stock_code,ymd,"100.0 * (t1.close1 - t1.open1) / t1.open1"
600006,20130515,-1.13636
600007,20141104,-0.82090
600008,20100205,-1.93299
600008,20130305,5.59006
600010,20110329,3.50404
600012,20100121,-2.70270
600012,20130916,-2.12264
600017,20140704,-6.12903
600018,20130906,9.68343
600018,20141119,1.02564
600021,20131017,-2.50482
600026,20141218,8.78613
600029,20141202,8.98876
600030,20141208,10.05611
600030,20141218,-1.82493
600039,20120806,9.54198
600048,20150106,-2.47863
600051,20110401,-4.12876
600052,20120413,-2.76680
600053,20130523,4.77387
600055,20140923,-1.58974
600057,20121106,-4.84496
600061,20120723,-5.30303
600061,20120807,5.84795
600061,20141209,-7.30961
600063,20120808,-1.04530
600064,20101109,-3.49515
600069,20140320,-2.63158
600069,20140827,3.03030
600070,20120426,-10.06711
600071,20140625,7.78947
600071,20140721,-0.72084
600071,20140731,0.17964
600072,20130807,7.82689
600074,20121122,-0.97087
600075,20100525,0.07605
600077,20120723,-6.84932
600078,20110329,0.18921
600080,20140226,6.62598
600081,20100903,-2.65655
600082,20110225,0.00000
600082,20130902,-9.82987
600088,20111014,-2.09747
600096,20141223,-5.30547
600097,20120723,-2.21870
600100,20111027,0.12048
600105,20130821,1.24031
600111,20130712,-1.76070
600113,20120502,0.00000
600113,20130125,-5.54593
600115,20141202,7.09091
600116,20110525,2.34131
600117,20140829,-1.83486
600117,20140912,4.09836
600119,20140812,7.97761
600119,20140821,1.38504
600127,20100325,-3.64583
600129,20100906,-4.00000
600130,20140212,8.15939
600132,20100416,-4.08163
600133,20100726,3.93375
600139,20110105,2.42305
600146,20120207,-2.65560
600148,20101108,-1.43198
600152,20130307,7.82609
600152,20140820,-3.95939
600155,20140321,2.00000
600157,20120910,0.00000
600157,20140814,-4.08922
600160,20140516,2.87356
600161,20130109,-4.68966
600163,20130325,2.26415
600167,20110523,13.49645
600168,20100329,-3.21142
600168,20141212,-1.76245
600170,20120508,-1.82482
600173,20100520,0.61350
600176,20141212,-3.48322
600179,20120830,10.00000
600179,20121010,8.27680
600185,20121105,4.59184
600185,20131009,-0.24096
600187,20111101,1.28755
600188,20140514,-0.38560
600200,20110315,4.65950
600203,20100319,0.00000
600203,20131230,7.33496
600209,20120731,7.26698
600209,20120806,4.75610
600211,20101130,-3.31834
600217,20121226,-0.39474
600221,20141202,6.33333
